# Time(s) Distance(km)
1.926109862529233797e+05 6.036947759102765322e+08
1.944110889281843556e+05 6.037290485000532866e+08
1.962111916034453025e+05 6.037633160683902502e+08
1.980112942787062784e+05 6.037975786086069345e+08
1.998113969539672544e+05 6.038318361140234470e+08
2.016114996292282012e+05 6.038660885779597759e+08
2.034116023044891772e+05 6.039003359937365055e+08
2.052117049797501531e+05 6.039345783546739817e+08
2.070118076550111000e+05 6.039688156540929079e+08
2.088119103302720760e+05 6.040030478853142262e+08
2.106120130055330519e+05 6.040372750416587591e+08
2.124121156807939988e+05 6.040714971164474487e+08
2.142122183560549747e+05 6.041057141030020714e+08
2.160123210313159507e+05 6.041399259946432114e+08
2.178124237065768975e+05 6.041741327846926451e+08
2.196125263818378735e+05 6.042083344664714336e+08
2.214126290570988494e+05 6.042425310333011150e+08
2.232127317323597963e+05 6.042767224785033464e+08
2.250128344076207723e+05 6.043109087953991890e+08
2.268129370828817482e+05 6.043450899773105383e+08
2.286130397581426951e+05 6.043792660175586939e+08
2.304131424334036710e+05 6.044134369094648361e+08
2.322132451086646470e+05 6.044476026463505030e+08
2.340133477839255938e+05 6.044817632215369940e+08
2.358134504591865698e+05 6.045159186283454895e+08
2.376135531344475457e+05 6.045500688600969315e+08
2.394136558097084926e+05 6.045842139101122618e+08
2.412137584849694686e+05 6.046183537717124224e+08
2.430138611602304445e+05 6.046524884382179976e+08
2.448139638354913914e+05 6.046866179029493332e+08
2.466140665107523673e+05 6.047207421592267752e+08
2.484141691860133433e+05 6.047548612003706694e+08
2.502142718612742901e+05 6.047889750197006464e+08
2.520143745365352661e+05 6.048230836105359793e+08
2.538144772117962420e+05 6.048571869661965370e+08
2.556145798870571889e+05 6.048912850800009966e+08
2.574146825623181649e+05 6.049253779452682734e+08
2.592147852375791408e+05 6.049594655553165674e+08
2.610148879128400877e+05 6.049935479034640789e+08
2.628149905881010345e+05 6.050276249830285311e+08
2.646150932633620105e+05 6.050616967873271704e+08
2.664151959386229864e+05 6.050957633096770048e+08
2.682152986138839624e+05 6.051298245433944464e+08
2.700154012891449383e+05 6.051638804817956686e+08
2.718155039644059143e+05 6.051979311181961298e+08
2.736156066396668321e+05 6.052319764459110498e+08
2.754157093149278080e+05 6.052660164582550526e+08
2.772158119901887840e+05 6.053000511485421658e+08
2.790159146654497599e+05 6.053340805100858212e+08
2.808160173407107359e+05 6.053681045361992121e+08
2.826161200159717118e+05 6.054021232201945782e+08
2.844162226912326296e+05 6.054361365553836823e+08
2.862163253664936055e+05 6.054701445350779295e+08
2.880164280417545815e+05 6.055041471525876522e+08
2.898165307170155575e+05 6.055381444012224674e+08
2.916166333922765334e+05 6.055721362742919922e+08
2.934167360675375094e+05 6.056061227651042938e+08
2.952168387427984271e+05 6.056401038669672012e+08
2.970169414180594031e+05 6.056740795731875896e+08
2.988170440933203790e+05 6.057080498770714998e+08
3.006171467685813550e+05 6.057420147719242573e+08
3.024172494438423309e+05 6.057759742510504723e+08
3.042173521191033069e+05 6.058099283077539206e+08
3.060174547943642247e+05 6.058438769353369474e+08
3.078175574696252006e+05 6.058778201271017790e+08
3.096176601448861766e+05 6.059117578763490915e+08
3.114177628201471525e+05 6.059456901763789654e+08
3.132178654954081285e+05 6.059796170204904079e+08
3.150179681706691044e+05 6.060135384019815922e+08
3.168180708459300222e+05 6.060474543141493797e+08
3.186181735211909981e+05 6.060813647502895594e+08
3.204182761964519741e+05 6.061152697036972046e+08
3.222183788717129501e+05 6.061491691676660776e+08
3.240184815469739260e+05 6.061830631354887486e+08
3.258185842222349020e+05 6.062169516004568338e+08
3.276186868974958197e+05 6.062508345558602810e+08
3.294187895727567957e+05 6.062847119949887991e+08
3.312188922480177716e+05 6.063185839111299515e+08
3.330189949232787476e+05 6.063524502975705862e+08
3.348190975985397235e+05 6.063863111475960016e+08
3.366192002738006995e+05 6.064201664544901848e+08
3.384193029490616173e+05 6.064540162115359306e+08
3.402194056243225932e+05 6.064878604120149612e+08
3.420195082995835692e+05 6.065216990492068529e+08
3.438196109748445451e+05 6.065555321163903475e+08
3.456197136501055211e+05 6.065893596068428755e+08
3.474198163253664970e+05 6.066231815138399601e+08
3.492199190006274148e+05 6.066569978306559324e+08
3.510200216758883907e+05 6.066908085505634546e+08
3.528201243511493667e+05 6.067246136668336391e+08
3.546202270264103427e+05 6.067584131727362871e+08
3.564203297016713186e+05 6.067922070615392923e+08
3.582204323769322946e+05 6.068259953265089989e+08
3.600205350521932123e+05 6.068597779609103203e+08
3.618206377274541883e+05 6.068935549580062628e+08
3.636207404027151642e+05 6.069273263110580444e+08
3.654208430779761402e+05 6.069610920133253336e+08
3.672209457532371162e+05 6.069948520580660105e+08
3.690210484284980921e+05 6.070286064385361671e+08
3.708211511037590099e+05 6.070623551479901075e+08
3.726212537790199858e+05 6.070960981796801090e+08
3.744213564542809618e+05 6.071298355268565416e+08
3.762214591295419377e+05 6.071635671827683449e+08
3.780215618048029137e+05 6.071972931406618357e+08
3.798216644800638896e+05 6.072310133937820196e+08
3.816217671553248074e+05 6.072647279353711605e+08
3.834218698305857833e+05 6.072984367586705685e+08
3.852219725058467593e+05 6.073321398569184542e+08
3.870220751811077353e+05 6.073658372233514786e+08
3.888221778563687112e+05 6.073995288512039185e+08
3.906222805316296872e+05 6.074332147337085009e+08
3.924223832068906049e+05 6.074668948640948534e+08
3.942224858821515809e+05 6.075005692355910540e+08
3.960225885574125568e+05 6.075342378414231539e+08
3.978226912326735328e+05 6.075679006748141050e+08
3.996227939079345088e+05 6.076015577289853096e+08
4.014228965831954847e+05 6.076352089971556664e+08
4.032229992584564025e+05 6.076688544725415707e+08
4.050231019337173784e+05 6.077024941483572721e+08
4.068232046089783544e+05 6.077361280178142786e+08
4.086233072842393303e+05 6.077697560741220713e+08
4.104234099595003063e+05 6.078033783104872704e+08
4.122235126347612822e+05 6.078369947201143503e+08
4.140236153100222000e+05 6.078706052962051630e+08
4.158237179852831759e+05 6.079042100319586992e+08
4.176238206605441519e+05 6.079378089205716848e+08
4.194239233358051279e+05 6.079714019552384615e+08
4.212240260110661038e+05 6.080049891291501522e+08
4.230241286863270798e+05 6.080385704354956150e+08
4.248242313615879975e+05 6.080721458674608469e+08
4.266243340368489735e+05 6.081057154182291031e+08
4.284244367121099494e+05 6.081392790809808969e+08
4.302245393873709254e+05 6.081728368488941193e+08
4.320246420626319014e+05 6.082063887151436806e+08
4.338247447378928773e+05 6.082399346729016304e+08
4.356248474131537951e+05 6.082734747153370380e+08
4.374249500884147710e+05 6.083070088356163502e+08
4.392250527636757470e+05 6.083405370269030333e+08
4.410251554389367229e+05 6.083740592823570967e+08
4.428252581141976989e+05 6.084075755951362848e+08
4.446253607894586748e+05 6.084410859583951235e+08
4.464254634647195926e+05 6.084745903652846813e+08
4.482255661399805686e+05 6.085080888089531660e+08
4.500256688152415445e+05 6.085415812825459242e+08
4.518257714905025205e+05 6.085750677792047262e+08
4.536258741657634964e+05 6.086085482920686007e+08
4.554259768410244724e+05 6.086420228142732382e+08
4.572260795162853901e+05 6.086754913389508724e+08
4.590261821915463661e+05 6.087089538592308760e+08
4.608262848668073420e+05 6.087424103682391644e+08
4.626263875420683180e+05 6.087758608590981960e+08
4.644264902173292940e+05 6.088093053249274492e+08
4.662265928925902117e+05 6.088427437588427067e+08
4.680266955678511877e+05 6.088761761539566517e+08
4.698267982431121636e+05 6.089096025033782721e+08
4.716269009183731396e+05 6.089430228002133369e+08
4.734270035936341155e+05 6.089764370375641584e+08
4.752271062688950915e+05 6.090098452085297108e+08
4.770272089441560092e+05 6.090432473062049150e+08
4.788273116194169852e+05 6.090766433236814737e+08
4.806274142946779612e+05 6.091100332540477514e+08
4.824275169699389371e+05 6.091434170903881788e+08
4.842276196451999131e+05 6.091767948257839680e+08
4.860277223204608890e+05 6.092101664533121586e+08
4.878278249957218068e+05 6.092435319660465717e+08
4.896279276709827827e+05 6.092768913570573330e+08
4.914280303462437587e+05 6.093102446194105148e+08
4.932281330215047346e+05 6.093435917461688519e+08
4.950282356967657106e+05 6.093769327303910255e+08
4.968283383720266866e+05 6.094102675651322603e+08
4.986284410472876043e+05 6.094435962434438467e+08
5.004285437225485803e+05 6.094769187583731413e+08
5.022286463978095562e+05 6.095102351029639244e+08
5.040287490730705322e+05 6.095435452702558041e+08
5.058288517483315081e+05 6.095768492532848120e+08
5.076289544235924841e+05 6.096101470450829268e+08
5.094290570988534018e+05 6.096434386386781931e+08
5.112291597741143778e+05 6.096767240270950794e+08
5.130292624493753538e+05 6.097100032033535242e+08
5.148293651246363297e+05 6.097432761604701281e+08
5.166294677998973057e+05 6.097765428914568424e+08
5.184295704751582816e+05 6.098098033893222809e+08
5.202296731504191994e+05 6.098430576470706463e+08
